A,X,54.598150,0.135335,1.000000,0.135335,0.367879,0.135335,1.000000,0.135335,0.367879,0.367879,0.367879,0.367879,0.135335,0.367879,0.367879,0.367879,2.718282,1.000000,1.000000,0.049787,0.367879,0.135335,0.367879
B,X,0.135335,403.428793,0.049787,403.428793,7.389056,0.049787,0.367879,0.367879,0.049787,0.367879,0.018316,0.049787,2.718282,0.367879,1.000000,0.135335,1.000000,0.367879,0.049787,0.018316,0.367879,0.049787,7.389056
C,X,1.000000,0.049787,8103.083928,0.049787,0.018316,0.135335,0.049787,0.049787,0.367879,0.049787,0.367879,0.367879,0.049787,0.049787,0.049787,0.049787,0.367879,0.367879,0.367879,0.135335,0.367879,0.135335,0.018316
D,X,0.135335,403.428793,0.049787,403.428793,7.389056,0.049787,0.367879,0.367879,0.049787,0.367879,0.018316,0.049787,2.718282,0.367879,1.000000,0.135335,1.000000,0.367879,0.049787,0.018316,0.367879,0.049787,7.389056
E,X,0.367879,7.389056,0.018316,7.389056,148.413159,0.049787,0.135335,1.000000,0.049787,2.718282,0.049787,0.135335,1.000000,0.367879,7.389056,1.000000,1.000000,0.367879,0.135335,0.049787,0.367879,0.135335,148.413159
F,X,0.135335,0.049787,0.135335,0.049787,0.049787,403.428793,0.049787,0.367879,1.000000,0.049787,1.000000,1.000000,0.049787,0.018316,0.049787,0.049787,0.135335,0.135335,0.367879,2.718282,0.367879,20.085537,0.049787
G,X,1.000000,0.367879,0.049787,0.367879,0.135335,0.049787,403.428793,0.135335,0.018316,0.135335,0.018316,0.049787,1.000000,0.135335,0.135335,0.135335,1.000000,0.135335,0.049787,0.135335,0.367879,0.049787,0.135335
H,X,0.135335,0.367879,0.049787,0.367879,1.000000,0.367879,0.135335,2980.957987,0.049787,0.367879,0.049787,0.135335,2.718282,0.135335,1.000000,1.000000,0.367879,0.135335,0.049787,0.135335,0.367879,7.389056,1.000000
I,X,0.367879,0.049787,0.367879,0.049787,0.049787,1.000000,0.018316,0.049787,54.598150,0.049787,7.389056,2.718282,0.049787,0.049787,0.049787,0.049787,0.135335,0.367879,20.085537,0.049787,0.367879,0.367879,0.049787
K,X,0.367879,0.367879,0.049787,0.367879,2.718282,0.049787,0.135335,0.367879,0.049787,148.413159,0.135335,0.367879,1.000000,0.367879,2.718282,7.389056,1.000000,0.367879,0.135335,0.049787,0.367879,0.135335,2.718282
L,Y,0.367879,0.018316,0.367879,0.018316,0.049787,1.000000,0.018316,0.049787,7.389056,0.135335,54.598150,7.389056,0.049787,0.049787,0.135335,0.135335,0.135335,0.367879,2.718282,0.135335,0.367879,0.367879,0.049787
M,Y,0.367879,0.049787,0.367879,0.049787,0.135335,1.000000,0.049787,0.135335,2.718282,0.367879,7.389056,148.413159,0.135335,0.135335,1.000000,0.367879,0.367879,0.367879,2.718282,0.367879,0.367879,0.367879,0.135335
N,Y,0.135335,2.718282,0.049787,2.718282,1.000000,0.049787,1.000000,2.718282,0.049787,1.000000,0.049787,0.135335,403.428793,0.135335,1.000000,1.000000,2.718282,1.000000,0.049787,0.018316,0.367879,0.135335,1.000000
P,Y,0.367879,0.367879,0.049787,0.367879,0.367879,0.018316,0.135335,0.135335,0.049787,0.367879,0.049787,0.135335,0.135335,1096.633158,0.367879,0.135335,0.367879,0.367879,0.135335,0.018316,0.367879,0.049787,0.367879
Q,Y,0.367879,1.000000,0.049787,1.000000,7.389056,0.049787,0.135335,1.000000,0.049787,2.718282,0.135335,1.000000,1.000000,0.367879,148.413159,2.718282,1.000000,0.367879,0.135335,0.135335,0.367879,0.367879,7.389056
R,Y,0.367879,0.135335,0.049787,0.135335,1.000000,0.049787,0.135335,1.000000,0.049787,7.389056,0.135335,0.367879,1.000000,0.135335,2.718282,148.413159,0.367879,0.367879,0.049787,0.049787,0.367879,0.135335,1.000000
S,Y,2.718282,1.000000,0.367879,1.000000,1.000000,0.135335,1.000000,0.367879,0.135335,1.000000,0.135335,0.367879,2.718282,0.367879,1.000000,0.367879,54.598150,2.718282,0.135335,0.049787,0.367879,0.135335,1.000000
T,Y,1.000000,0.367879,0.367879,0.367879,0.367879,0.135335,0.135335,0.135335,0.367879,0.367879,0.367879,0.367879,1.000000,0.367879,0.367879,0.367879,2.718282,148.413159,1.000000,0.135335,0.367879,0.135335,0.367879
V,Y,1.000000,0.049787,0.367879,0.049787,0.135335,0.367879,0.049787,0.049787,20.085537,0.135335,2.718282,2.718282,0.049787,0.135335,0.135335,0.049787,0.135335,1.000000,54.598150,0.049787,0.367879,0.367879,0.135335
W,Y,0.049787,0.018316,0.135335,0.018316,0.049787,2.718282,0.135335,0.135335,0.049787,0.049787,0.135335,0.367879,0.018316,0.018316,0.135335,0.049787,0.049787,0.135335,0.049787,59874.141715,0.367879,7.389056,0.049787
X,Y,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879,0.367879
Y,Y,0.135335,0.049787,0.135335,0.049787,0.135335,20.085537,0.049787,7.389056,0.367879,0.135335,0.367879,0.367879,0.135335,0.049787,0.367879,0.135335,0.135335,0.135335,0.367879,7.389056,0.367879,1096.633158,0.135335
Z,Y,0.367879,7.389056,0.018316,7.389056,148.413159,0.049787,0.135335,1.000000,0.049787,2.718282,0.049787,0.135335,1.000000,0.367879,7.389056,1.000000,1.000000,0.367879,0.135335,0.049787,0.367879,0.135335,148.413159
